"PCON11CD","Total_Population","Total_Households","Total_Dwellings","Total_Household_Spaces","Total_Population_16_and_over","Total_Population_16_to_74","Total_Pop_No_NI_Students_16_to_74","Total_Employment_16_to_74","Total_Pop_in_Housesholds_16_and_over","Total_Population_3_and_over","k001","k002","k003","k004","k005","k006","k007","k008","k009","k010","k011","k012","k013","k014","k015","k016","k017","k018","k019","k020","k021","k022","k023","k024","k025","k026","k027","k028","k029","k030","k031","k032","k033","k034","k035","k036","k037","k038","k039","k040","k041","k042","k043","k044","k045","k046","k047","k048","k049","k050","k051","k052","k053","k054","k055","k056","k057","k058","k059","k060"
"E14000530",103922,40195,41573,41639,83053,77179,77179,56512,81029,99450,7315,12225,32491,24849,12576,602,18297.3309729,2029,27054,41736,9844,88888,2218,1418,648,218,7873,2005,654,87058,2344,1510,1769,7591,3930,21,7659,13104,10664,9987,26976,6136,6753,3844,25053.54593924,8632,30917,10396,20757,5173,16833,6130,40626,7398,2807,13734,42778,57,4277,3988,647,9018,2868,2984,7040,2632,3790,6276,4131,6217
"E14000531",76974,32230,33012,33014,63354,55758,55758,35387,62923,74618,3992,8659,18261,20819,16060,581,10319.7188197,442,17657,33569,6695,71685,1195,1935,324,126,722,747,240,74386,301,317,353,5641,3927,2,8598,15654,4489,4196,24576,4687,2643,1171,28691.35734559,9660,21418,7400,13006,3449,12675,3127,28488,2419,2539,10268,25119,47,3633,4919,546,6227,1719,1368,2292,1802,1470,1891,3810,4163
"E14000532",96591,39939,41229,41292,77136,69014,69014,48191,76514,93009,6091,12145,25872,25853,15795,808,15095.1555629,623,22918,41013,7791,87351,2058,1898,1712,121,1668,943,840,88663,1124,1118,512,7026,3900,3,9479,16321,7938,7549,29871,4897,4766,1568,25753.11091033,9834,22702,8770,31121,4766,16921,5532,34056,5150,2098,13425,34766,89,3163,3443,531,7124,1931,2103,8296,3400,2644,1948,5012,6300
"E14000533",87883,37829,39308,39317,72502,65428,65428,42350,71724,85010,4752,9605,22607,24938,15218,724,8846.1843186,778,21769,35817,9206,86467,580,253,62,9,265,176,71,85723,457,650,243,8228,4054,0,12659,15503,8665,2466,27535,5430,4338,1278,33822.46879233,10394,25739,8702,13576,3479,13732,2395,33037,5087,2788,11919,30431,179,4182,8493,640,7282,2102,1811,2563,1140,1695,2173,3577,4771
"E14000534",97267,41540,43513,43534,80349,69122,69122,46741,79066,94502,4747,11040,19877,29295,21981,1249,6343.7025066,1608,19022,45566,9033,95077,972,231,41,95,542,209,100,91326,1387,560,157,8506,3729,3,19042,11799,6994,5139,31771,4286,4680,1573,28271.87092475,11167,26654,9681,26478,3849,20846,3727,33254,4733,1706,15246,31495,925,3937,3371,530,6987,2180,2221,5610,3259,2441,2133,4822,5354
"E14000535",101914,43405,45067,45088,82919,75252,75252,46452,81785,98151,6159,11528,26186,28014,17104,711,12963.1989682,1134,25207,40487,10810,99832,819,311,69,55,410,290,128,99035,524,1023,376,8815,4657,1,13708,19004,8956,3371,30189,7168,5453,1646,42671.11569689,12322,30810,9621,12129,4045,14073,3206,35778,5805,3569,13259,33193,130,4568,8159,771,8945,2738,2073,2415,1108,1948,2205,3462,6194
"E14000536",112940,45777,47607,47666,89287,80561,80561,55077,88429,108452,7555,14595,29086,29404,18021,897,12246.754399,893,26187,45959,11029,105594,1633,944,160,183,2674,1365,387,102817,1622,1653,841,8957,4211,7,15293,14510,11782,5598,31677,6772,6653,2436,31840.64983312,11227,33425,10741,21686,5030,19045,5350,38513,7543,2971,16131,38946,868,5731,4810,774,9475,2951,2858,4921,2458,3037,2769,4756,6959
"E14000537",90484,38928,40896,40948,72789,66539,66539,41310,72106,86881,5917,10618,24548,23610,13534,552,18757.7795755,693,26203,31594,9324,79039,1535,2678,3989,1052,932,1028,231,82672,664,1306,1765,5980,4369,8,3814,16719,14157,6253,24388,8235,5825,2715,36612.94900826,9957,27623,8564,11228,4696,8834,7236,27244,5593,3399,11067,30243,36,3530,5156,582,7803,2382,2003,2922,2483,2065,2332,3224,5070
"E14000538",108027,43035,44343,44526,85477,78328,78328,56480,83832,103373,7749,13365,31601,27678,14583,739,15414.8943195,1711,26506,44001,9932,92681,2956,1552,5225,128,2162,2760,563,94809,1918,1932,1417,8459,4010,11,11561,13871,11902,7093,30320,5720,6538,3543,25654.38194872,10079,29711,10306,25618,4671,18985,5268,39506,8374,2656,14949,41531,311,4279,4481,667,9234,2654,2423,6804,2997,2832,4913,5019,7196
"E14000539",117928,47040,48909,48969,93591,85809,85809,62273,91471,112870,8473,14379,34532,30086,16301,760,14748.587676,2490,28624,48337,11093,108985,2091,1192,2242,111,1352,1594,361,105471,2062,3062,1265,9828,4338,25,14601,16574,11875,5777,32219,6042,8024,2954,28745.93941692,10781,33285,11020,25578,4983,20102,4262,43687,10378,2516,16616,45657,748,4453,7726,602,11358,2940,2697,6929,2287,2874,4331,5896,6284
"E14000540",122313,45172,45965,46053,89663,83926,83926,48971,89318,114573,12872,18132,40094,23109,10784,503,39389.6509177,356,35234,37824,11378,67277,5392,5451,6740,6050,4545,24736,2122,82101,2320,6512,4757,4463,4554,206,1856,8116,22263,13803,20087,16193,8448,10147,31573.96692475,10412,28032,8179,19503,10052,7154,24222,19652,4038,6181,14471,34500,27,5119,2107,529,7498,4091,3015,3801,3048,3817,2542,4300,6744
"E14000541",85714,37871,39304,39407,69921,63572,63572,38934,69262,82576,5186,9482,23057,23158,13763,491,13433.1150677,665,23019,32131,9470,83410,608,221,112,27,487,617,232,82121,448,1259,667,7192,3881,24,7576,17146,10313,4353,24033,7992,5223,1900,37891.54017863,9875,24253,8187,11965,3817,10472,3648,28618,5541,3393,11373,27561,92,4089,5061,575,6849,2043,1865,2208,1286,1960,2265,3462,5561
"E14000542",90434,39031,40671,40714,73348,66223,66223,39526,72595,87071,5563,10378,23730,23960,15230,552,10021.802868,755,23501,34494,9519,88740,632,127,43,23,285,477,107,88016,397,787,361,7698,4153,2,8191,19913,9951,2641,24654,9015,4729,1633,40564.8754795,10727,26037,8144,10850,3718,11431,3856,30965,3564,3722,11762,27764,130,4716,4921,648,7217,2036,1772,2042,1243,2205,2208,3329,5466
"E14000543",88826,40165,42798,42854,73539,65815,65815,40786,72609,86163,4561,9595,21401,25398,16702,808,16078.3292715,940,22067,35812,9415,87430,456,185,49,44,472,93,97,86362,432,441,162,7410,3893,11,6758,12682,18576,4520,29849,4316,5523,1381,41183.76863933,10725,27251,9775,16390,3435,10699,3061,27266,8895,2766,13244,27542,370,3373,7968,893,5971,1575,2721,2223,957,1387,2411,3420,5763
"E14000544",89687,37404,38050,38055,71343,63918,63918,41918,70781,86146,5903,11233,24231,22725,14399,633,14448.226192,570,22450,34751,8756,83147,1516,1123,199,209,960,2292,241,83635,759,720,320,6234,3969,4,8372,9586,13447,6381,25116,8330,3602,2611,26660.8351009,8999,27524,7637,14676,3649,12784,9690,25724,4835,2949,11589,30329,79,4458,3358,492,6539,2430,1701,4089,5007,1996,1897,3515,4500
